date,symbol,Adjusted,Close,High,Low,Open,Volume
2011-07-13,AAPL,44.501926,51.145714,51.42857,50.91143,51.189999,97909700
2011-07-14,AAPL,44.470867,51.110001,51.658573,50.905716,51.572857,107633400
2011-07-15,AAPL,45.359615,52.131428,52.142857,51.310001,51.595715,121116800
2011-07-18,AAPL,46.463387,53.400002,53.521427,52.182858,52.204285,143163300
2011-07-19,AAPL,46.842503,53.835712,54.092857,53.331429,54,204786400
2011-07-20,AAPL,48.091732,55.271427,56.610001,55.142857,56.58857,235335100
2011-07-21,AAPL,48.140202,55.327145,55.722858,54.842857,55.278572,131633600
2011-07-22,AAPL,48.887249,56.185715,56.435715,55.392857,55.474285,129182200
2011-07-25,AAPL,49.533596,56.92857,57.142857,55.66,55.764286,147451500
2011-07-26,AAPL,50.143917,57.630001,57.785713,57.097141,57.142857,119145600
2011-07-27,AAPL,48.798988,56.084286,57.52,56.021427,57.227142,164831100
2011-07-28,AAPL,48.703278,55.974285,56.712856,55.447144,55.945713,148508500
2011-07-29,AAPL,48.536709,55.782856,56.450001,54.857143,55.377144,158146100
2011-08-01,AAPL,49.316074,56.67857,57.07143,56.052856,56.825714,153209000
2011-08-02,AAPL,48.341572,55.558571,56.842857,55.478573,56.807144,159884900
2011-08-03,AAPL,48.796501,56.081429,56.221428,54.605713,55.854286,183127000
2011-08-04,AAPL,46.907146,53.91,55.902859,53.907143,55.630001,217851900
2011-08-05,AAPL,46.441017,53.374287,54.785713,51.795715,54.348572,301147700
2011-08-08,AAPL,43.904057,50.458572,52.53857,50.431427,51.669998,285958400
2011-08-09,AAPL,46.489487,53.43,53.515713,50.714287,51.614285,270645900
2011-08-10,AAPL,45.206718,51.955715,53.521427,51.785713,53.021427,219664200
2011-08-11,AAPL,46.450958,53.385715,53.635715,52.102856,52.931427,185492300
2011-08-12,AAPL,46.859905,53.855713,54.234287,53.46143,54.009998,132244000
2011-08-15,AAPL,47.657909,54.772858,54.995716,54.012856,54.232857,115136000
2011-08-16,AAPL,47.29372,54.354286,54.767143,53.722858,54.502857,124687500
2011-08-17,AAPL,47.288746,54.348572,54.931427,54,54.615715,110515300
2011-08-18,AAPL,45.500076,52.292858,53.235714,51.624287,52.977142,212858800
2011-08-19,AAPL,44.254585,50.861427,52.42857,50.857143,51.738571,193972100
2011-08-22,AAPL,44.305542,50.919998,52.125713,50.727142,52.072857,133828800
2011-08-23,AAPL,46.43853,53.371429,53.377144,51,51.471428,164208800
2011-08-24,AAPL,46.75922,53.740002,54.137142,52.942856,53.352856,156566900
2011-08-25,AAPL,46.453445,53.388573,53.635715,52.142857,52.154285,217836500
2011-08-26,AAPL,47.679043,54.797142,54.828571,52.971428,53.024284,160369300
2011-08-29,AAPL,48.473324,55.709999,55.92857,55.42857,55.454285,101317300
2011-08-30,AAPL,48.475811,55.712856,55.977142,55.172855,55.464287,104480600
2011-08-31,AAPL,47.834419,54.975716,56.011429,54.55143,55.795715,130646600
2011-09-01,AAPL,47.362076,54.432858,55.334286,54.388573,55.117142,85931300
2011-09-02,AAPL,46.494469,53.435715,54,53.118572,53.534286,109734800
2011-09-06,AAPL,47.201733,54.248573,54.332859,52.354286,52.48143,127424500
2011-09-07,AAPL,47.722546,54.847141,55.085712,54.57143,55.080002,87644200
2011-09-08,AAPL,47.748665,54.877144,55.515713,54.615715,54.628571,104039600
2011-09-09,AAPL,46.920807,53.925713,55.142857,53.574287,54.847141,141203300
2011-09-12,AAPL,47.226597,54.277142,54.41143,53.128571,53.285713,116958100
2011-09-13,AAPL,47.808315,54.945713,55.172855,54.32143,54.591427,110140100
2011-09-14,AAPL,48.390045,55.614285,56.029999,55.10857,55.28857,133681100
2011-09-15,AAPL,48.844986,56.137142,56.237144,55.700001,55.918571,104454700
2011-09-16,AAPL,49.782204,57.214287,57.214287,56.432858,56.505714,174628300
2011-09-19,AAPL,51.165661,58.804287,59.032856,56.457142,56.714287,205965200
2011-09-20,AAPL,51.391888,59.064285,60.408573,58.741428,59.32143,193938500
2011-09-21,AAPL,51.229061,58.877144,60.227142,58.857143,59.94857,151494000
2011-09-22,AAPL,49.946285,57.402859,58.545715,56.671429,57.290001,242120200
2011-09-23,AAPL,50.254547,57.757141,58.105713,57.121429,57.182858,136569300
2011-09-26,AAPL,50.114086,57.595715,57.71143,55.900002,57.122856,203219100
2011-09-27,AAPL,49.628071,57.037144,58.464287,56.865715,58.389999,158124400
2011-09-28,AAPL,49.348396,56.715714,57.677143,56.644287,57.169998,107409400
2011-09-29,AAPL,48.547901,55.795715,57.458572,55.172855,57.417141,162771700
2011-09-30,AAPL,47.398132,54.474285,55.555714,54.454285,55.302856,136910200
2011-10-03,AAPL,46.562832,53.514286,54.662857,53.310001,54.33857,167274800
2011-10-04,AAPL,46.3018,53.214287,54.542858,50.605713,53.509998,308419300
2011-10-05,AAPL,47.016529,54.035713,54.259998,51.471428,52.55143,196617400
2011-10-06,AAPL,46.907146,53.91,54.968571,53.114285,53.332859,203145600
2011-10-07,AAPL,45.966179,52.828571,53.962856,52.64143,53.682858,133864500
2011-10-10,AAPL,48.329144,55.544285,55.544285,54.029999,54.155716,110628700
2011-10-11,AAPL,49.756107,57.184284,57.597141,55.92857,56.081429,151421900
2011-10-12,AAPL,49.992271,57.455715,58.464287,57.162857,58.191429,155571500
2011-10-13,AAPL,50.767899,58.347141,58.347141,57.549999,57.854286,106546300
2011-10-14,AAPL,52.454659,60.285713,60.285713,59.324287,59.547142,143341800
2011-10-17,AAPL,52.204826,59.998573,60.957142,59.419998,60.248573,171511200
2011-10-18,AAPL,52.484486,60.32,60.687141,59.427143,60.251427,220400600
2011-10-19,AAPL,49.548523,56.945713,58.345715,56.828571,57.335712,276014900
2011-10-20,AAPL,49.137074,56.472858,57.192856,56.315716,57.142857,137317600
2011-10-21,AAPL,48.833797,56.124287,57.02,55.82143,56.871429,155311100
2011-10-24,AAPL,50.437267,57.967144,58.07143,56.485714,56.597141,125534500
2011-10-25,AAPL,49.442863,56.824287,58.078571,56.76857,57.861427,107606800
2011-10-26,AAPL,49.794636,57.228573,57.507141,56.164288,57.394287,114076200
2011-10-27,AAPL,50.30302,57.812859,58.42857,57.412857,58.222858,123666200
2011-10-28,AAPL,50.335346,57.849998,58.049999,57.501427,57.57143,80710700
2011-10-31,AAPL,50.314209,57.825714,58.475716,57.292858,57.488571,96375300
2011-11-01,AAPL,49.286236,56.644287,57.07143,56.174286,56.772858,132947500
2011-11-02,AAPL,49.398117,56.772858,57.205715,56.444286,57.155716,81837700
2011-11-03,AAPL,50.101658,57.581429,57.628571,56.48,57.009998,110346600
2011-11-04,AAPL,49.749886,57.177143,57.634285,57.022858,57.432858,75557300
2011-11-07,AAPL,49.686493,57.104286,57.142857,56.59,57.130001,67568900
2011-11-08,AAPL,50.494438,58.032856,58.285713,57.365715,57.458572,100110500
2011-11-09,AAPL,49.133354,56.468571,57.27,56.318573,56.709999,139671000
2011-11-10,AAPL,47.882896,55.031429,56.744286,54.592857,56.718571,186188100
2011-11-11,AAPL,47.808315,54.945713,55.528572,54.322857,55.23,163446500
2011-11-14,AAPL,47.142071,54.18,55.035713,54.028572,54.78857,108226300
2011-11-15,AAPL,48.331619,55.547142,55.642857,54.207142,54.400002,107702700
2011-11-16,AAPL,47.826946,54.967144,55.877144,54.902859,55.607143,87302600
2011-11-17,AAPL,46.912113,53.915714,54.939999,53.642857,54.854286,119975100
2011-11-18,AAPL,46.605091,53.562859,54.284286,53.554287,54.131428,92984500
2011-11-21,AAPL,45.867996,52.715714,53.097141,52.272858,52.914288,111995100
2011-11-22,AAPL,46.800247,53.787144,53.990002,52.991428,53.002857,102255300
2011-11-23,AAPL,45.616905,52.427143,53.691429,52.41143,53.501427,107067800
2011-11-25,AAPL,45.191799,51.938572,53.021427,51.902859,52.631428,63690200
2011-11-28,AAPL,46.75177,53.73143,53.817142,52.904285,53.192856,86603300
2011-11-29,AAPL,46.388817,53.314285,54.118572,52.885715,53.691429,93963800
2011-11-30,AAPL,47.507519,54.599998,54.611427,54.042858,54.470001,101484600
2011-12-01,AAPL,48.219746,55.418571,55.57143,54.392857,54.648571,96795300
2011-12-02,AAPL,48.439774,55.671429,56.232857,55.511429,55.689999,94763900
2011-12-05,AAPL,48.851185,56.144287,56.630001,55.77,56.212856,89302500
